label,topic,word,prob,ranknum
Long Island,0,time,14.319802641571593,20
Long Island,0,want,14.413102027066525,19
Long Island,0,good,14.863949503739175,18
Long Island,0,know,15.820692752471247,17
Long Island,0,ll,16.297352478619743,16
Long Island,0,think,16.678653241982325,15
Long Island,0,years,17.091924032233898,14
Long Island,0,going,17.256827977242747,13
Long Island,0,probably,17.298164720406994,12
Long Island,0,people,20.6714665964106,11
Long Island,0,don,21.629487437648258,10
Long Island,0,place,22.223182914903706,9
Long Island,0,apartments,23.194157692312263,8
Long Island,0,long,24.10026813160888,7
Long Island,0,island,24.66944394224664,6
Long Island,0,looking,24.82260521048486,5
Long Island,0,like,30.60941326415606,4
Long Island,0,power,33.303528986504794,3
Long Island,0,li,34.1633527035623,2
Long Island,0,just,34.52908773944324,1
Long Island,1,lipa,12.113036396482295,20
Long Island,1,gov,12.398998923334142,19
Long Island,1,park,12.477632523393522,18
Long Island,1,commack,13.977380118459173,17
Long Island,1,does,13.996478801613687,16
Long Island,1,don,14.224516557335981,15
Long Island,1,district,14.466909011925473,14
Long Island,1,ny,14.945487373887229,13
Long Island,1,sure,15.179121873868636,12
Long Island,1,time,15.754128361316194,11
Long Island,1,districts,17.20162105721371,10
Long Island,1,know,19.1563748295089,9
Long Island,1,school,19.202179603233358,8
Long Island,1,state,23.714306039604686,7
Long Island,1,island,26.71788693134982,6
Long Island,1,com,34.513998414416825,5
Long Island,1,power,37.97807026663145,4
Long Island,1,long,38.314253631366604,3
Long Island,1,www,39.08581404441952,2
Long Island,1,https,58.176364717459585,1
Long Island,2,got,30.197039124847493,20
Long Island,2,schools,30.199070480328913,19
Long Island,2,right,30.611922789736923,18
Long Island,2,open,31.83246680059717,17
Long Island,2,tax,32.200117146943626,16
Long Island,2,really,32.59814518064269,15
Long Island,2,year,33.51718957884394,14
Long Island,2,time,35.677229727767326,13
Long Island,2,home,35.9105510875063,12
Long Island,2,school,38.066719221831846,11
Long Island,2,know,42.326650939021924,10
Long Island,2,gyms,47.199924315034146,9
Long Island,2,power,49.6332152724634,8
Long Island,2,think,55.315057863167866,7
Long Island,2,going,55.79773843989091,6
Long Island,2,people,79.5096401587146,5
Long Island,2,gym,80.19982279789794,4
Long Island,2,like,83.99066269228649,3
Long Island,2,don,84.35738890947357,2
Long Island,2,just,95.47770919546291,1
Long Island,3,thanks,18.312982056663248,20
Long Island,3,today,19.033211153621217,19
Long Island,3,don,19.06154909532411,18
Long Island,3,didn,19.25362014476599,17
Long Island,3,good,20.57873100635954,16
Long Island,3,people,20.663113127696633,15
Long Island,3,days,20.819648053757003,14
Long Island,3,said,21.62934332898818,13
Long Island,3,time,22.731256093010195,12
Long Island,3,service,24.69346671360063,11
Long Island,3,internet,25.807119882021908,10
Long Island,3,know,25.866329969979994,9
Long Island,3,pseg,29.06722083975722,8
Long Island,3,new,29.489325283758767,7
Long Island,3,like,35.49350395247042,6
