year,quarter,precinct,all_force
2016,4,1,18
2016,4,5,15
2016,4,6,18
2016,4,7,5
2016,4,9,14
2016,4,10,4
2016,4,13,20
2016,4,14,6
2016,4,17,2
2016,4,18,19
2016,4,19,10
2016,4,20,3
2016,4,23,6
2016,4,24,9
2016,4,25,13
2016,4,26,1
2016,4,28,5
2016,4,30,12
2016,4,32,12
2016,4,33,14
2016,4,34,17
2016,4,40,26
2016,4,41,10
2016,4,42,21
2016,4,43,18
2016,4,44,46
2016,4,45,6
2016,4,46,16
2016,4,47,24
2016,4,48,55
2016,4,49,15
2016,4,50,15
2016,4,52,20
2016,4,60,6
2016,4,61,8
2016,4,62,7
2016,4,63,6
2016,4,66,3
2016,4,67,19
2016,4,68,12
2016,4,69,9
2016,4,70,15
2016,4,71,10
2016,4,72,16
2016,4,73,17
2016,4,75,30
2016,4,76,7
2016,4,77,23
2016,4,78,8
2016,4,79,16
2016,4,81,12
2016,4,83,11
2016,4,84,7
2016,4,88,5
2016,4,90,31
2016,4,94,8
2016,4,100,21
2016,4,101,16
2016,4,102,13
2016,4,103,15
2016,4,104,4
2016,4,105,18
2016,4,106,6
2016,4,107,4
2016,4,108,8
2016,4,109,24
2016,4,110,22
2016,4,111,3
2016,4,112,5
2016,4,113,21
2016,4,114,28
2016,4,115,17
2016,4,120,37
2016,4,121,17
2016,4,122,13
2016,4,123,1
2017,1,1,13
2017,1,5,4
2017,1,6,16
2017,1,7,13
2017,1,9,19
2017,1,10,7
2017,1,13,11
2017,1,14,6
2017,1,17,5
2017,1,18,20
2017,1,19,17
2017,1,20,14
2017,1,23,7
2017,1,24,16
2017,1,25,9
2017,1,26,5
2017,1,28,16
2017,1,30,3
2017,1,32,13
2017,1,33,17
2017,1,34,17
2017,1,40,26
2017,1,41,11
2017,1,42,29
2017,1,43,21
2017,1,44,58
2017,1,45,9
2017,1,46,20
2017,1,47,35
2017,1,48,32
2017,1,49,16
2017,1,50,15
2017,1,52,28
2017,1,60,4
2017,1,61,13
2017,1,62,8
2017,1,63,6
2017,1,67,26
2017,1,68,12
2017,1,69,10
2017,1,70,22
2017,1,71,28
2017,1,72,27
2017,1,73,25
2017,1,75,41
2017,1,76,15
2017,1,77,22
2017,1,78,10
2017,1,79,25
2017,1,81,21
2017,1,83,11
2017,1,84,8
2017,1,88,4
2017,1,90,24
2017,1,94,12
2017,1,100,14
2017,1,101,20
2017,1,102,9
2017,1,103,19
2017,1,104,11
2017,1,105,18
2017,1,106,19
2017,1,107,4
2017,1,108,3
2017,1,109,12
2017,1,110,8
2017,1,111,4
2017,1,112,9
2017,1,113,24
2017,1,114,28
2017,1,115,14
2017,1,120,21
2017,1,121,18
2017,1,122,12
2017,1,123,4
2017,2,1,8
2017,2,5,9
2017,2,6,25
2017,2,7,9
2017,2,9,23
2017,2,10,12
2017,2,13,14
2017,2,14,5
2017,2,17,2
2017,2,18,8
2017,2,19,13
2017,2,20,5
2017,2,23,15
2017,2,24,29
2017,2,25,13
2017,2,26,10
2017,2,28,22
2017,2,30,11
2017,2,32,31
2017,2,33,15
2017,2,34,25
2017,2,40,36
2017,2,41,23
2017,2,42,17
2017,2,43,20
2017,2,44,44
2017,2,45,15
2017,2,46,45
2017,2,47,24
2017,2,48,39
2017,2,49,27
2017,2,50,13
2017,2,52,33
2017,2,60,14
2017,2,61,11
2017,2,62,17
2017,2,63,14
2017,2,66,7
2017,2,67,29
2017,2,68,5
2017,2,69,18
2017,2,70,25
2017,2,71,38
2017,2,72,25
2017,2,73,29
2017,2,75,59
2017,2,76,7
2017,2,77,41
2017,2,78,7
2017,2,79,22
2017,2,81,25
2017,2,83,22
2017,2,84,12
2017,2,88,15
2017,2,90,23
2017,2,94,8
2017,2,100,15
2017,2,101,19
2017,2,102,12
2017,2,103,19
2017,2,104,7
2017,2,105,24
2017,2,106,8
2017,2,107,10
2017,2,108,6
2017,2,109,7
2017,2,110,8
2017,2,111,6
2017,2,112,2
2017,2,113,24
2017,2,114,13
2017,2,115,18
2017,2,120,37
2017,2,121,8
2017,2,122,8
2017,2,123,3
2017,3,1,15
2017,3,5,8
2017,3,6,26
2017,3,7,4
2017,3,9,18
2017,3,10,8
2017,3,13,14
2017,3,14,19
2017,3,17,6
2017,3,18,8
2017,3,19,11
2017,3,20,11
2017,3,23,18
